name,place_id,location,neighborhood,lat,lng,website,google_maps_url,rating,rating_count,categories_google,categories_verified,categories_source,verification_status,verification_confidence,types
Victory Vibes,ChIJDffmSVGfLxgRaGWqsjfP0XQ,"Balozi Road, Kitengela, Kenya",,-1.4916771,36.9650214,https://victoryvibes.odoo.com/,https://maps.google.com/?cid=8417737016659830120,5,(3),aerial,aerial,fallback_original,approved,0.875,establishment; gym; health; point_of_interest
Ikigai Nairobi Westlands (Peponi Road),ChIJqYRjYngXLxgRiNH6SeJIA20,"Peponi Rd, Nairobi, Kenya",,-1.2355052,36.7827159,https://ikigai.co.ke/westlands/,https://maps.google.com/?cid=7855202311805260168,4.6,(334),aerial; yoga; prenatal-postnatal,yoga,website_extracted,approved,0.875,establishment; point_of_interest
Kenrail Towers,ChIJxwp5QeQXLxgRzUGvGYJHr5Y,"Ring Road, Nairobi, Kenya",,-1.2608979,36.8043437,http://www.krc.co.ke/,https://maps.google.com/?cid=10857975850715791821,4.3,(1799),aerial; dance; yoga,aerial; dance; yoga,fallback_original,approved,0.75,establishment; point_of_interest; shopping_mall
Ngong Road Forest Sanctuary,ChIJM1Zl0vsaLxgRntzSlILvwGg,"forest, Ngong Rd, Ngong, Kenya",Ngong,-1.3090279,36.7491506,http://www.ngongroadforest.com/,https://maps.google.com/?cid=7548296319594585246,4.4,(5925),aerial; running,aerial; running,website_extracted,approved,0.875,establishment; park; point_of_interest; tourist_attraction
Watamu Treehouse,ChIJwxGunfx_FRgRwRkSWmHtY6s,"Turtle Bay Road, Watamu, Kenya",,-3.378648,39.9861335,http://www.treehouse.co.ke/,https://maps.google.com/?cid=12349975605558778305,4.6,(105),aerial,aerial,fallback_original,approved,0.875,establishment; food; gym; health; lodging; point_of_interest; restaurant
Astral Aerial Solutions,ChIJM1LQ3IASLxgRqRxedy8MYe0,"Western Heights, Nairobi, Kenya",,-1.2594124,36.8007138,http://www.astral-aerial.com/,https://maps.google.com/?cid=17104966257735507113,4.7,(42),aerial,aerial,website_extracted,approved,0.875,establishment; point_of_interest
Cruz drone Photography,ChIJy0zDl8wRLxgRqo25vAuZZQ8,"Luthuli Ave, Nairobi, Kenya",,-1.2837429,36.8288687,https://cruz-drone-photography.odoo.com/,https://maps.google.com/?cid=1109461158906662314,5,(19),aerial,aerial,website_extracted,approved,0.875,electronics_store; establishment; point_of_interest; store
Poles Apart Studio,ChIJMeuR7xobLxgRvhZWCyxPYlE,"Ngong Rd, Nairobi, Kenya",Ngong,-1.3011158,36.7804628,https://www.polesapartstudio.com/,https://maps.google.com/?cid=5864336715377153726,,,aerial; dance; barre,dance; barre,website_extracted,approved,0.875,establishment; point_of_interest
TheOne Studios Nairobi (AfroDance & Afrobeats Dance Hub),ChIJFRwHrtcXLxgRZkOL3XvgT2Q,"Waiyaki Wy, Nairobi, Kenya",,-1.2641045,36.800847,http://theonestudios.co.ke/,https://maps.google.com/?cid=7228242749555426150,4.9,(46),aerial; dance; fitness; gym-time; boxing,dance; fitness; gym-time,website_extracted,approved,0.75,establishment; gym; health; point_of_interest
Dojo Wellness Club,ChIJhbVhn54bLxgRZWeohIlPzNQ,"320 Ngong Rd, Nairobi, Kenya",Ngong,-1.3222749,36.7037376,http://www.dojokenya.com/,https://maps.google.com/?cid=15333718283344439141,4.9,(54),aerial; barre; boxing; hiit-bootcamp; cycling; fitness; gym-time; yoga; pilates; martial-arts; outdoors; personal-training; mind-body; reformer-pilates; strength-training; dance,aerial; barre; boxing; hiit-bootcamp; cycling; fitness; gym-time; yoga; pilates; martial-arts; outdoors; personal-training; mind-body; reformer-pilates; strength-training; dance,fallback_original,approved,0.75,establishment; food; gym; health; point_of_interest; spa
