name,place_id,location,neighborhood,lat,lng,website,google_maps_url,rating,rating_count,categories_google,categories_verified,categories_source,verification_status,verification_confidence,types
Ongata Rongai Boxing Club,ChIJx8h7YzEFLxgRQhvCVLgW_JI,"Magadi Rd, Ongata Rongai, Kenya",Rongai,-1.3941018,36.7605379,http://www.orbc.co.ke/,https://maps.google.com/?cid=10591365404620364610,4.8,(27),boxing; martial-arts,martial-arts; boxing,website_extracted,approved,0.75,establishment; health; point_of_interest
Savannah Fitness Exchange,ChIJhTgRh2sJQBgRr1hWEZWL890,"Vienna Court, State House Rd, Nairobi, Kenya",,-1.2855885,36.8079347,http://www.savannahfitnessexchange.com/,https://maps.google.com/?cid=15993280174080022703,4.6,(56),boxing; hiit-bootcamp; fitness; martial-arts; outdoors; personal-training; strength-training,personal-training; boxing; fitness; strength-training,website_extracted,approved,0.875,establishment; health; point_of_interest
VMX Fitness,ChIJZXcVQwMXLxgRcVZp4QuR7_I,"The Village Market, 3rd Floor Limuru Rd, Nairobi, Kenya",,-1.229403,36.8046649,http://vmx-fitness.com/,https://maps.google.com/?cid=17505369756824852081,4.7,(96),boxing; strength-training; hiit-bootcamp; cycling; fitness; gym-time; martial-arts; outdoors; personal-training; yoga; dance,strength-training; fitness,website_extracted,approved,0.875,establishment; gym; health; point_of_interest
Advanced Fitness Centre Ltd,ChIJwUb8O3YRLxgRd5vPSZqhoZI,"Holden Towers Shimo la Tewa Road, Off Dunga Rd, Nairobi, Kenya",,-1.3056482,36.8321214,https://www.advancedfitness.co.ke/,https://maps.google.com/?cid=10565903884823272311,4.7,(284),boxing; dance; strength-training; hiit-bootcamp; cycling; fitness; martial-arts; personal-training; running; stretching; yoga,boxing; strength-training; fitness; yoga,website_extracted,approved,0.875,establishment; gym; health; point_of_interest
Zettu Unified Martial Arts - ZUMA,ChIJcStfR38RLxgRLwyjHvoTiJk,"YMCA, State House Rd, Nairobi, Kenya",,-1.2803943,36.8128116,https://zuma.co.ke/,https://maps.google.com/?cid=11063114449612377135,4.5,(11),boxing; martial-arts; mind-body,martial-arts; boxing,website_extracted,approved,0.875,establishment; health; point_of_interest
THE MECCA MEN’S GYM SECTION,ChIJLwqfgTAXLxgRv5wIodjjHEI,"Al bait, 1st floor Fourth St, Nairobi, Kenya",,-1.2720506,36.8498327,http://themecca-gym.com/,https://maps.google.com/?cid=4763933025405279423,4.7,(19),boxing; martial-arts; strength-training; dance,strength-training; boxing; dance,website_extracted,approved,0.875,establishment; gym; health; point_of_interest
Fitness & Gym Kenya,ChIJx1_p_ikRLxgRg2Sp77dYaLE,"jamia mall Kigali Rd, Starehe, Kenya",,-1.2829502,36.8205599,http://www.fitnessgym.co.ke/,https://maps.google.com/?cid=12783565089314268291,4.9,(46),boxing; strength-training; fitness; gym-time; hiit-bootcamp; martial-arts; outdoors; personal-training; stretching,strength-training; boxing; fitness; gym-time; personal-training,website_extracted,approved,0.875,clothing_store; establishment; gym; health; point_of_interest; store
Boxing Fitness Trainer (Coach Mike),ChIJnUt1SQAbLxgReaxOoYhjC9U,"MQ7G+F8V, Langata Rd, Nairobi, Kenya",Langata,-1.3362692,36.7757823,http://www.orbc.co.ke/,https://maps.google.com/?cid=15351473193295457401,,,boxing,boxing,website_extracted,approved,0.75,establishment; point_of_interest
THE MECCA LADIES GYM,ChIJv8E-WgAXLxgRTca6geotcvs,"Muyuyu Ave, Nairobi, Kenya",,-1.2715535,36.8493551,http://themecca-gym.com/,https://maps.google.com/?cid=18118594736087025229,4.8,(17),boxing; cycling; martial-arts; personal-training; strength-training; dance,strength-training; boxing; personal-training; dance,website_extracted,approved,0.875,establishment; gym; health; point_of_interest
Nextgen Gym,ChIJ96W2kkMRLxgRsj3wuFjphAQ,"Mombasa Road, Nairobi, Kenya",,-1.3234212,36.8437829,https://nextgengym.fitness/,https://maps.google.com/?cid=325641640346664370,4.6,(220),dance; strength-training; cycling; fitness; gym-time; pilates; hiit-bootcamp; martial-arts; outdoors; personal-training; stretching; yoga,strength-training; personal-training; dance; fitness; gym-time; pilates; martial-arts; yoga,website_extracted,approved,0.875,establishment; gym; health; point_of_interest
Ultimo Fitness & Spa,ChIJV1bLLAAbLxgRs4WnTVMouFI,"PQ6F+429, Gitanga Rd, Nairobi, Kenya",,-1.2897097,36.7726058,http://www.ultimofitness.com/,https://maps.google.com/?cid=5960558445075072435,5,(1),dance,dance,fallback_original,approved,0.875,establishment; gym; health; point_of_interest
MDA Studios,ChIJkd2jU9EbLxgRpfkFt-7Uw-4,"Valley Arcade, Nairobi, Kenya",,-1.2901653,36.7700396,http://www.mda-africa.com/,https://maps.google.com/?cid=17204829123223353765,5,(5),dance; cycling; martial-arts,dance; martial-arts,website_extracted,approved,0.75,establishment; gym; health; point_of_interest
Zazu Studios Limited,ChIJaTXMTrkXLxgRd4gu3GZeQtA,"PRQ6+5QH The Radiance Mall, 1st Floor First Parklands Ave, Nairobi, Kenya",Parklands,-1.2619794,36.8120833,https://www.zazu.fit/,https://maps.google.com/?cid=15006660704225626231,5,(12),dance; fitness; personal-training; strength-training; stretching; yoga,personal-training; strength-training; fitness,website_extracted,approved,0.75,establishment; gym; health; point_of_interest
Progressive Park Gym,ChIJ7cAHA0AXLxgRobm5bU9xzjw,"10 Mwanzi Rd, Nairobi, Kenya",,-1.2575079,36.8046516,https://progressiveparkhotel.co/gym,https://maps.google.com/?cid=4381564073435314593,4.5,(54),dance; cycling; fitness; outdoors; personal-training,fitness; personal-training,website_extracted,approved,0.75,establishment; gym; health; point_of_interest
Mazoezi Gym South C,ChIJtVfsp2YRLxgRvZK9rNkx8eU,"five star road, 72 Muhoho Rd, Nairobi, Kenya",,-1.3223636,36.8254914,https://www.mazoezigym.com/,https://maps.google.com/?cid=16569079315048534717,4.2,(99),dance; stretching,dance,website_extracted,approved,0.875,establishment; gym; health; point_of_interest
"Calisthens Fitness (Home of flexibility, mobility and strength)",ChIJD56BA3YbLxgRYG2AoCXMyCg,"Othaya Rd, Nairobi, Kenya",,-1.2848951,36.7772274,http://calisthensfitness.com/,https://maps.google.com/?cid=2938823218837876064,5,(19),strength-training; hiit-bootcamp; fitness; cycling; outdoors; personal-training; stretching,strength-training; personal-training; fitness,website_extracted,approved,0.875,establishment; gym; health; point_of_interest
Smart Gyms Diamond Plaza 2,ChIJDQdtWHcXLxgRAjvNTVYF5rk,"Diamond Plaza, Fourth Parklands Ave, Nairobi, Kenya",Parklands,-1.2588401,36.8193638,http://smartgyms.co.ke/,https://maps.google.com/?cid=13395400009890740994,4.5,(252),strength-training; hiit-bootcamp; fitness; gym-time; stretching,strength-training; gym-time; fitness,website_extracted,approved,0.875,establishment; gym; health; point_of_interest
FEEL FITNESS CENTER,ChIJ5WNI2vMXLxgR3IPvHUafpyo,"After Roasters, At Thika Palm Arcade, along Garden estate road, Off Thika Rd, Nairobi, Kenya",,-1.2342401,36.8695393,http://feelfitnesscenter.org/,https://maps.google.com/?cid=3073600394202416092,4.5,(49),strength-training; cycling; fitness,strength-training; fitness,website_extracted,approved,0.875,establishment; gym; health; point_of_interest
Gym Source Kenya Ltd,ChIJodDuHx4jLxgR8zm6dF44Ow8,"Mezzanine floor, Shop M25, Soin shopping Arcade, Soin Shopping Arcade, Mezzanine floor Westlands Rd, Nairobi, Kenya",Westlands,-1.265787,36.8049725,http://gymsourcekenya.co.ke/,https://maps.google.com/?cid=1097532912531290611,4.9,(76),strength-training; cycling; fitness; gym-time; personal-training,gym-time; cycling; fitness,website_extracted,approved,0.875,establishment; point_of_interest
Dance Into Space,ChIJj2zZ1k8RLxgReCi7xzqtCdo,"The GoDown Arts Centre, Dunga Rd, Nairobi, Kenya",,-1.3032193,36.8315416,http://www.danceintospace.org/,https://maps.google.com/?cid=15711279243029325944,,,dance,dance,website_extracted,approved,0.75,establishment; point_of_interest
Music-Inn International School Of Music,ChIJ7eyg6tQQLxgRNeREGkzzwgM,"Nairobi, Kenya",,-1.2648607,36.7910518,http://www.music-inn.co.ke/,https://maps.google.com/?cid=271046435779437621,4.9,(735),dance,dance,website_extracted,approved,0.75,establishment; point_of_interest; school; store
GoDown Arts Centre - Construction Site,ChIJJ4udXGwRLxgRmTXQqb1QylM,"MRWJ+MM, Nairobi, Kenya",,-1.3033125,36.8316875,http://thegodown.org/,https://maps.google.com/?cid=6037727025971606937,4.3,(657),dance; strength-training,dance; strength-training,website_extracted,approved,0.75,establishment; point_of_interest
Learn Music Academy,ChIJFW59z7wRLxgRN-94-8j8K_I,"Green Gate, Opposite Riara Thorns, Adjacent to Riara Annex 1, Nairobi, Nairobi, Kenya",,-1.2985954,36.767171,https://www.learnmusic.studio/,https://maps.google.com/?cid=17450319121319784247,5,(62),dance,dance,fallback_original,approved,0.75,establishment; point_of_interest; school; store
The Golden Eagle Art Gallery,ChIJ4cZWHCUFLxgRkoXjXQ8dvv4,"15205, 15205 Langata S Rd, Nairobi, Kenya",Langata,-1.3505106,36.7481374,https://goldeneagleartsgallery.com/,https://maps.google.com/?cid=18356141083045627282,4.3,(524),dance,dance,fallback_original,approved,0.75,art_gallery; establishment; point_of_interest
K1 Klub House,ChIJtwxHgDwXLxgRCrs2wYO4n7c,"39005, Nairobi, Kenya",,-1.2682335,36.8119787,https://www.kahamagroup.com/,https://maps.google.com/?cid=13231497106259622666,4.3,(2729),dance,dance,fallback_original,approved,0.75,bar; establishment; food; lodging; night_club; point_of_interest; restaurant
Century Cinemax Garden City,ChIJJ3PAtcIVLxgREPHbSyqGt48,"Roysambu Off Exit 7 Thika Rd Nairobi garden city mall, Nairobi, Kenya",Roysambu,-1.232498,36.8780512,http://centurycinemax.co.ke/,https://maps.google.com/?cid=10355893384381198608,4.6,(9965),dance,dance,fallback_original,approved,0.75,establishment; movie_theater; point_of_interest
SmashFit Gym Sarit,ChIJhdQa7qIXLxgRywdxkxHP3UU,"Sarit, the Multi-storey Car Park, Sarit Using, 6th Floor Karuna Rd, Nairobi, Kenya",,-1.2611605,36.80197769999999,https://smashfitgym.com/,https://maps.google.com/?cid=5034407632865134539,4.5,(72),hiit-bootcamp; cycling; fitness; gym-time; martial-arts; personal-training; strength-training; dance,gym-time; personal-training; strength-training; fitness; dance,website_extracted,approved,0.875,establishment; gym; health; point_of_interest
Fitness 360 South C,ChIJl5yWF7kRLxgRTHj5n0yCXaw,"KPA Estate, Nairobi, Kenya",,-1.3233692,36.8397188,http://facebook.com/Fitness360Ke,https://maps.google.com/?cid=12420226612970747980,4.3,(180),hiit-bootcamp; fitness; personal-training; strength-training,fitness; personal-training,website_extracted,approved,0.875,establishment; gym; health; point_of_interest
Tuzidi Fitness,ChIJMXJ_hrcbLxgRevT-kaEZBZA,"00603, York Palace, Muthangari Gardens, Nairobi, Kenya",,-1.289001,36.76843119999999,https://tuzidifitness.com/,https://maps.google.com/?cid=10377729098075010170,4.8,(71),hiit-bootcamp; fitness; gym-time; personal-training; strength-training,personal-training; fitness; gym-time; strength-training,website_extracted,approved,0.75,establishment; gym; health; point_of_interest
Urban Fitness Gym,ChIJob04OnwaLxgRX-3-97oxuRM,"Kibera Dr, Nairobi City, Kenya",Kibera,-1.3089962,36.7756477,http://www.urban-fitness.biz/,https://maps.google.com/?cid=1421221836506459487,4.3,(136),hiit-bootcamp; fitness; personal-training; strength-training,personal-training; strength-training; fitness,website_extracted,approved,0.875,establishment; gym; health; point_of_interest
Bicycle.co.ke - Kids bicycle store | Mountain Bicycle shop | Bicycle shop Nairobi Kenya,ChIJNRvCsE5HLxgRlPEL59zW73Y,"Jaza supermarket, Nairobi, Kenya",,-1.2777758,36.83091,http://www.bicycle.co.ke/,https://maps.google.com/?cid=8570304860166812052,4.9,(84),cycling,cycling,website_extracted,approved,0.875,bicycle_store; establishment; point_of_interest; store
Glolinkbicycles,ChIJORdXTgARLxgRNRWWxHvDqhg,"Dubois Rd, Nairobi, Kenya",,-1.2830625,36.8269375,http://glolinkbicycles.co.ke/,https://maps.google.com/?cid=1777447939297645877,4.8,(92),cycling,cycling,website_extracted,approved,0.875,bicycle_store; establishment; point_of_interest; store
Baiskeli Centre,ChIJnwknyH0XLxgRhKAxEdrENaY,"Kipande Rd, Nairobi, Kenya",,-1.2771786,36.8210709,https://baiskelicentre.co.ke/,https://maps.google.com/?cid=11976695224932081796,4.8,(110),cycling; prenatal-postnatal,cycling; prenatal-postnatal,fallback_original,approved,0.75,bicycle_store; establishment; point_of_interest; store
Zuzu Bike Shop & service center,ChIJ3SmvLMEXLxgRDsmsZfsJB_0,"Gigiri, Nairobi, Kenya",Gigiri,-1.2375933,36.8106747,http://zuzubikeshop.com/,https://maps.google.com/?cid=18232552591780006158,4.6,(48),cycling,cycling,website_extracted,approved,0.875,bicycle_store; establishment; point_of_interest; store
iNFiNiTY Baisikeli,ChIJdeGOv8ERLxgRFcEnh7DsKZ0,"Gitanga Box Park, 1148 Gitanga Rd, Nairobi, Kenya",,-1.288889,36.7640677,https://www.infinity.ke/,https://maps.google.com/?cid=11324842980925751573,4.9,(104),cycling,cycling,fallback_original,approved,0.75,bicycle_store; establishment; point_of_interest; store
NAIROBI MART WHOLESALERS,ChIJJaTPUnkXLxgRZxlB3icsT2E,"Okoth Aura Rd, Nairobi, Kenya",,-1.2699204,36.8307977,https://www.nairobimartwholesalers.co.ke/,https://maps.google.com/?cid=7011871694583306599,4.7,(75),cycling,cycling,fallback_original,approved,0.75,bicycle_store; establishment; furniture_store; home_goods_store; point_of_interest; store
The Bike Village,ChIJM4pjqfgRLxgRs-OS-l30Pms,"one stop centre, Bunyala Rd, Nairobi, Kenya",,-1.2994689,36.8227632,http://www.bikevillage.co.ke/,https://maps.google.com/?cid=7727882695087416243,4.6,(19),cycling,cycling,website_extracted,approved,0.875,bicycle_store; establishment; point_of_interest; store
Pedalling Powerhouse,ChIJkWjHTuwWLxgRAaJJIEeNIOg,"Murang'a Rd, Nairobi, Kenya",,-1.2705455,36.8296338,https://www.facebook.com/Peddalling-powerhouse-1156690657686024/,https://maps.google.com/?cid=16726524352677913089,4.9,(28),cycling,cycling,fallback_original,approved,0.875,establishment; point_of_interest
eBee Kenya,ChIJDy-ht00RLxgRVSHvMn80j2U,"house number 1, Hospihome, Chaka Rd, Nairobi, Kenya",,-1.2909941,36.7906215,http://www.ebee.africa/,https://maps.google.com/?cid=7318125640420368725,4.6,(71),cycling,cycling,fallback_original,approved,0.75,bicycle_store; establishment; point_of_interest; store
Cycloville Kenya,ChIJ98OEMQ4XLxgRnAEk5xWHsgk,"Nairobi, Kenya",,-1.2149999,36.9035176,http://www.cycloville.co.ke/,https://maps.google.com/?cid=698769420337807772,4.3,(36),cycling,cycling,website_extracted,approved,0.875,bicycle_store; establishment; point_of_interest; store
Cycloville Kenya CBD,ChIJwVC4YFURLxgRnOvKr22PJh8,"5th floor shop No K14, Kenya house Complex, Koinange St, Nairobi, Kenya",,-1.2815254,36.817334,http://www.cycloville.co.ke/,https://maps.google.com/?cid=2244639165554289564,3.7,(3),cycling,cycling,website_extracted,approved,0.875,bicycle_store; establishment; point_of_interest; store
"Cycling Accessories and Parts Bike shop Ruiru , Nairobi",ChIJseGpXvs_LxgRbqOhwoi-ODc,"Embly Business park, Ruiru, Kenya",,-1.1620631,36.9468962,https://www.sportshouse.co.ke/,https://maps.google.com/?cid=3979139765372035950,4.3,(24),cycling,cycling,website_extracted,approved,0.875,bicycle_store; establishment; point_of_interest; store
Marzel Bikes Enterprise,ChIJw4XBC7cRLxgR3VKKIcW7ZKM,"Nairobi, Ruiru, Kenya",,-1.2828132,36.82770530000001,https://marzelbikes.co.ke/,https://maps.google.com/?cid=11773741781198983901,5,(10),cycling,cycling,website_extracted,approved,0.875,bicycle_store; establishment; point_of_interest; store
JUA ebike,ChIJDRrPuSoRLxgRRKmSg43scrM,"87 Rhapta Road, Nairobi, Kenya",,-1.264667,36.7910418,https://jua.bike/,https://maps.google.com/?cid=12930657572676086084,4.6,(10),cycling,cycling,fallback_original,approved,0.75,bicycle_store; establishment; point_of_interest; store
Custom Spokes Limited,ChIJ_eTHlo0RLxgRzGXub_Cu6iA,"PR8H+PF2, 87 River Rd, Nairobi, Kenya",,-1.2831943,36.828609,https://customspokes.co.ke/,https://maps.google.com/?cid=2371900501457266124,5,(17),cycling,cycling,website_extracted,approved,0.875,bicycle_store; establishment; point_of_interest; store
Hiking Adventures by Lets Drift,ChIJvW1uTocvLxgRaZ4CEqKM8FA,"General Mathenge Drive, Nairobi, Kenya",,-1.256413,36.8048416,https://letsdrift.co.ke/,https://maps.google.com/?cid=5832316145159544425,4.8,(105),cycling; outdoors,outdoors,website_extracted,approved,0.75,establishment; point_of_interest
Prime Cycle Services,ChIJtbuGsyoXLxgRlX14eOckjn0,"New Kereita Building, Ground Floor, Behind Guaca Stationers, PRCF+5HX, Kirinyaga Rd, Nairobi, Kenya",,-1.2795105,36.8240355,http://www.primecycleservices.com/,https://maps.google.com/?cid=9047209278011112853,5,(3),cycling,cycling,fallback_original,approved,0.75,establishment; point_of_interest; shopping_mall
Bike Centre Kenya - Online Bicycle Shop & Repair Shop,ChIJiUCF36YXLxgR65j3CMHzbBc,"Nairobi, Kenya",,-1.2598822,36.8178918,http://bike.co.ke/,https://maps.google.com/?cid=1687991970761775339,5,(1),cycling,cycling,website_extracted,approved,0.875,bicycle_store; establishment; point_of_interest; store
Run Beyond Limited,ChIJWSfT5HgXLxgRzfBxNWe_cuE,"Warwick Centre, United Nations Ave, Nairobi, Kenya",,-1.2356818,36.8115039,http://www.runbeyond.co.ke/,https://maps.google.com/?cid=16245257255877996749,4.8,(67),cycling; running,cycling; running,website_extracted,approved,0.875,establishment; point_of_interest; store
Canaryfitness,ChIJn2TIVbEXLxgRYcfilzO2bIo,"Equity Roundbout, opposite TORONTO General Wariungi, Nairobi, Kenya",,-1.2785987,36.8521148,https://www.canary.fitness/,https://maps.google.com/?cid=9974547607426615137,4.9,(20),cycling; fitness; personal-training; strength-training,fitness,website_extracted,approved,0.75,establishment; gym; health; point_of_interest
Jacaranda Gym and Spa,ChIJfcl5aA8XLxgRNvu3X6HagA4,"Jacaranda Hotel, Woodvale Cl, Nairobi, Kenya",,-1.2624636,36.8013724,https://www.jacarandahotels.com/nairobi/gym-and-spa,https://maps.google.com/?cid=1045075500180437814,4.3,(35),cycling; dance,cycling; dance,fallback_original,approved,0.875,establishment; gym; health; point_of_interest; spa
FitSpot Gym,ChIJn8oHOXkfLxgR1WiZCQcbX-Y,"Kikuyu - Nderi Road, Rungiri, Kenya",,-1.2374527,36.6620501,https://fitspotgym.com/,https://maps.google.com/?cid=16600016468550707413,4.9,(72),cycling; hiit-bootcamp; martial-arts,cycling; hiit-bootcamp; martial-arts,fallback_original,approved,0.75,establishment; gym; health; point_of_interest
Barndit fitness,ChIJdXBlQLUXLxgRejg_PJ0p50M,"Westlands, Nairobi, Kenya",Westlands,-1.250672,36.7913311,https://barndits.com/,https://maps.google.com/?cid=4892925275458713722,5,(1),cycling; hiit-bootcamp,cycling; hiit-bootcamp,fallback_original,approved,0.75,establishment; health; point_of_interest; store
"Afrofit GymStore | Nairobi, Rainbow Plaza, Ngara",ChIJw1mMDwBBLxgRP3m1GnUy684,"Rainbow Plaza, Off Kipande Rd, Nairobi, Kenya",,-1.2727282,36.8171707,http://www.afrofit.co.ke/,https://maps.google.com/?cid=14910066469880822079,4.9,(52),cycling; strength-training; yoga,cycling; strength-training; yoga,website_extracted,approved,0.875,establishment; point_of_interest
Fitness Center Kenya,ChIJO3AU-K8RLxgRC1P4dDTBeGg,"Shah Mansion, 1st Floor, Moktar Daddah Street Opp Jeevanjee Gardens, Nairobi, Kenya",,-1.281555,36.8204328,https://fitnesscenter.co.ke/,https://maps.google.com/?cid=7527979208194675467,5,(5),cycling; fitness,fitness,website_extracted,approved,0.875,establishment; gym; health; point_of_interest
Ikigai Nairobi (Riverside),ChIJubX6OCcXLxgRLcQA57vufXI,"Merchant Square, Riverside Dr, Nairobi, Kenya",Riverside,-1.2695557,36.79436580000001,https://ikigai.co.ke/riverside,https://maps.google.com/?cid=8250012583214498861,4.7,(58),cycling,cycling,fallback_original,approved,0.875,establishment; point_of_interest
Fitness Zone KE,ChIJIcPhCccRLxgRnV4WYW5Ndns,"Moktar Daddah St, Nairobi, Kenya",,-1.2815134,36.8205177,https://zone.co.ke/,https://maps.google.com/?cid=8896383250387590813,5,(10),cycling; outdoors; strength-training,strength-training,website_extracted,approved,0.875,establishment; point_of_interest; store
Ozone Trampoline Park,ChIJbfmiEOwXLxgRcd7RjbhEEHQ,"Limuru Rd, Nairobi, Kenya",,-1.2300637,36.8044259,http://villagemarket-kenya.com/,https://maps.google.com/?cid=8363260067471023729,4.5,(234),cycling; trampoline,trampoline,website_extracted,approved,0.75,establishment; point_of_interest
TapaTapa Tap Dance Kenya,ChIJZ6S6VYsVLxgRwg83OnPzSoE,"TapaTapa Tap Dance, Nairobi, Kenya",,-1.2769008,36.901415,https://linktr.ee/tapatapatapdancekenya,https://maps.google.com/?cid=9316526455392767938,,,dance,dance,website_extracted,approved,0.875,establishment; point_of_interest
Dollarz Gentlemen's Club Westlands,ChIJAegfjFQXLxgRrc3kDpfdqPk,"Bishan Plaza, Mpaka Rd, Nairobi, Kenya",,-1.2646772,36.8053341,http://dollarzlounge.com/,https://maps.google.com/?cid=17989872352391122349,4.4,(46),dance,dance,website_extracted,approved,0.75,establishment; night_club; point_of_interest
XS Millionaires Club,ChIJoSEHax0RLxgRTZwzMJIoBv4,"Nairobi, Kenya",,-1.3005322,36.8255141,http://xs.co.ke/,https://maps.google.com/?cid=18304362343832984653,4.2,(278),dance,dance,website_extracted,approved,0.75,establishment; night_club; point_of_interest
One Dance Safaris,ChIJe5jBb_ERLxgR1lLC7bpEm6w,"Pili Trade Center, 3rd floor Mombasa Road, Nairobi, Kenya",,-1.354152,36.9055951,https://onedancesafaris.com/,https://maps.google.com/?cid=12437610365557297878,5,(22),dance,dance,website_extracted,approved,0.75,establishment; point_of_interest; travel_agency
"Atara Movement Studio(Pilates, Yoga, Dance, Strength Training)",ChIJcQPY-jwbLxgRr0aUe2nh3Yo,"Langata Rd, Nairobi, Kenya",Langata,-1.3408288,36.7501733,https://ataramovementstudios.simplybook.me/,https://maps.google.com/?cid=10006401790248240815,5,(4),dance; pilates; strength-training; yoga,dance; pilates; strength-training; yoga,fallback_original,approved,0.75,establishment; gym; health; point_of_interest
Lanmed limited,ChIJP0BbnHMRLxgRdS5H1uq_e7M,"View Park Towers, 1st Floor Utalii St, Nairobi, Kenya",,-1.2828012,36.8160691,https://lanmedlimited.co.ke/,https://maps.google.com/?cid=12933141770262752885,4.8,(19),electrical-muscle-stimulation,electrical-muscle-stimulation,website_extracted,approved,0.75,establishment; health; point_of_interest
Tiba Quip Africa,ChIJbbP8iaIRLxgRhKUQrLkbK6I,"6th floor shop, Kimathi chambers, 6 Kimathi St, Nairobi, Kenya",,-1.2823944,36.82147459999999,https://www.tibaquipafrica.com/,https://maps.google.com/?cid=11685464142412555652,5,(7),electrical-muscle-stimulation,electrical-muscle-stimulation,fallback_original,approved,0.75,establishment; health; point_of_interest
Thrive Esthetics Kenya,ChIJmzXfBF4RLxgRDXGLTxsTZH0,"Tsavo Rd, Nairobi, Kenya",,-1.3090417,36.8307217,https://thriveaesthetics.co.ke/,https://maps.google.com/?cid=9035367760431640845,5,(446),electrical-muscle-stimulation,electrical-muscle-stimulation,fallback_original,approved,0.75,establishment; health; point_of_interest; store
Medswift,ChIJw9QzIwARLxgRQJu7jNmsgcM,"Southgate Center South B, Nairobi KE, Nairobi, Kenya",South B,-1.310857,36.8368229,http://www.medswift.co.ke/,https://maps.google.com/?cid=14087731159760608064,4.8,(60),electrical-muscle-stimulation,electrical-muscle-stimulation,fallback_original,approved,0.75,establishment; point_of_interest
OCOA Ambulance Service,ChIJGS96iycXLxgRl1xQQY2ujJM,"Premier Court, Lantana Rd, Nairobi, Kenya",,-1.2667845,36.8000566,http://ocoambulance.co.ke/,https://maps.google.com/?cid=10632064742024305815,4.8,(22),electrical-muscle-stimulation,electrical-muscle-stimulation,fallback_original,approved,0.75,establishment; health; point_of_interest
Smart Gyms Junction,ChIJA2tJjWoaLxgRU2OrfDzJIWE,"Junction Mall, Nairobi, Kenya",,-1.2977751,36.7619112,http://smartgyms.co.ke/,https://maps.google.com/?cid=6999096557537289043,4.4,(486),fitness; gym-time; personal-training; strength-training,gym-time; personal-training; strength-training; fitness,website_extracted,approved,0.875,establishment; gym; health; point_of_interest
NAIROBI FITNESS HUB,ChIJGaEQ52lcC4URKTCHpPId8u8,"Moi Ave, Nairobi, Kenya",,-1.2860189,36.82566750000001,https://nairobifitnesshub.com/,https://maps.google.com/?cid=17289914847408369705,4.9,(32),fitness; gym-time; boxing; hiit-bootcamp; outdoors; strength-training; trampoline,gym-time; strength-training; fitness; trampoline,website_extracted,approved,0.875,establishment; point_of_interest; store
Zarnash Gym,ChIJqQ3BOfcZLxgRq8xdtuCsr3A,"PQF9+5R5, Naushad Merali Dr, Nairobi, Kenya",,-1.2771246,36.7696124,http://www.zarnashgym.com/,https://maps.google.com/?cid=8119898734304545963,4.1,(37),fitness; strength-training,strength-training; fitness,website_extracted,approved,0.875,establishment; gym; health; point_of_interest
Fitness Kenya,ChIJa0GYHr0RLxgRUAPnkjTThI4,"Cianda House, Koinange St, Nairobi, Kenya",,-1.2833225,36.8182668,https://fitnesskenya.co.ke/,https://maps.google.com/?cid=10269565273067946832,3.7,(3),fitness; trampoline,fitness,website_extracted,approved,0.875,establishment; point_of_interest
Inda Fitness Kenya,ChIJke_zNswRLxgRe3SorUR3ZHg,"Twiga Towers, Nairobi, Kenya",,-1.2809128,36.821081,https://gymandfitness.co.ke/,https://maps.google.com/?cid=8675189919077397627,4,(65),fitness; boxing; hiit-bootcamp; stretching; strength-training,strength-training; fitness; boxing,website_extracted,approved,0.875,establishment; point_of_interest; store
Boost Fitness Gym,ChIJCTvC5RYRLxgRaF5yrsAKH8E,"Eastleigh, Nairobi, Kenya",Eastleigh,-1.2797692,36.8465414,https://www.boostfitness.co.ke/,https://maps.google.com/?cid=13915853196274851432,4.8,(16),fitness,fitness,website_extracted,approved,0.875,establishment; gym; health; point_of_interest
Lantern Life Fitness Studio (Women’s Only Gym),ChIJKcbgNywbLxgRc5YUr39DH4I,"Mazeras, Nairobi, Kenya",,-1.2893044,36.7779534,https://lanternlifefitness.com/,https://maps.google.com/?cid=9376287164885931635,5,(33),fitness; gym-time; personal-training; boxing; strength-training,gym-time; personal-training; strength-training; fitness; boxing,website_extracted,approved,0.875,establishment; gym; health; point_of_interest
Jojafit fitness,ChIJEfznOCkNLxgRotIfXcjIBkA,"delta chambers, Nairobi, Kenya",,-1.2665713,36.8029956,https://www.jojafitness.com/,https://maps.google.com/?cid=4613595631169032866,5,(41),fitness; personal-training; prenatal-postnatal; strength-training; stretching,personal-training; strength-training; fitness,website_extracted,approved,0.75,establishment; gym; health; point_of_interest
Adromax Gym,ChIJ3XJ1IgARLxgRuIciq9R3JPs,"PQ3Q+X24, Ring Road, & Junction, Chania Ave, Nairobi, Kenya",,-1.295101,36.7875844,http://adromaxfitness.com/,https://maps.google.com/?cid=18096720957969434552,5,(11),fitness; personal-training,fitness,website_extracted,approved,0.75,establishment; gym; health; point_of_interest
Lemon Studio,ChIJb0wlYeoXLxgRl-90Isov7zM,"Nelleon Place, 99 Rhapta Road, Nairobi, Kenya",,-1.2648496,36.7910081,https://www.squeezersclub.com/,https://maps.google.com/?cid=3742262360576159639,5,(3),fitness; pilates; personal-training; stretching,pilates,website_extracted,approved,0.875,establishment; gym; health; point_of_interest
