name,address,website
Prosperas Skills Center,"Kimathi St, Nairobi, Kenya",https://www.prosperasskillscenter.com/
Jays' Fitness Systems,"Shanghai, Greatwall Gardens Mall, Nairobi, Kenya",http://jfs.co.ke/
Adept Training Center,"51899, Nairobi, Kenya",https://adepteliteconsulting.com/
Ubunifu College,"Nairobi, Kenya",https://ubunifucollege.com/
Indepth Research Institute (IRES),"Tala Road, Off Kiambu Rd, Nairobi, Kenya",https://www.indepthresearch.org/
The Burn Club,"PQXR+HGP Azalea Square, General Mathenge Drive, Nairobi, Kenya",https://theburnclub.co.ke/
AFROFIT GYM | Delta Chambers (DC),"Delta Chambers, Waiyaki Wy, Nairobi, Kenya",http://www.afrofit.life/
AFROFIT GYM | Thika Road Mall (TRM),"TRM, Nairobi, Kenya",http://www.afrofit.life/
FirstPower Fitness,"The Waterfront, Nairobi, Kenya",http://firstpowerfitness.com/
Alpha Fit,"MQXF+H3F, Ngong Rd, Nairobi, Kenya",http://www.alphafit-ltd.com/
Lystra Gym And Spa,"Harambee Rabai Rd, Buruburu The Point Mall Makadara, Nairobi, Kenya",https://www.lystra.co.ke/
Workout Warehouse Limited,"Highwayy Mall, Uhuru Hwy, Nairobi, Kenya",https://workoutwarehouse.co.ke/
MOM3NTUM Fitness (Westlands Square),"Westlands Square Mall 2nd Floor, Westlands Square Mall, ground floor Ring Rd Parklands, Nairobi, Kenya",http://www.mom3ntum.com/
F45 Training Nairobi Lavington,"Lavington Curve Mall 1st Floor, Nairobi, Kenya",https://f45training.com/lavington/home?
Harvest Skype Gym,"Gitungo Rd Next to Metropolitan Teachers Sacco, Limuru Town., Kenya",https://web.facebook.com/harvestlimuru
Ongata Rongai Boxing Club,"Magadi Rd, Ongata Rongai, Kenya",http://www.orbc.co.ke/
Savannah Fitness Exchange,"Vienna Court, State House Rd, Nairobi, Kenya",http://www.savannahfitnessexchange.com/
VMX Fitness,"The Village Market, 3rd Floor Limuru Rd, Nairobi, Kenya",http://vmx-fitness.com/
