name,place_id,location,neighborhood,lat,lng,website,google_maps_url,rating,rating_count,categories_google,categories_verified,categories_source,verification_status,verification_confidence,types,scan_errors
The Alchemist,ChIJr9P-KRUXLxgR4Wn6jx1lv9A,"Parklands Rd, Nairobi, Kenya",Parklands,-1.2625724,36.8039327,https://alchemist254.com/,https://maps.google.com/?cid=15041852458084755937,4.3,(6192),dance,dance,fallback_original,rejected,0,bar; establishment; food; point_of_interest; shopping_mall,
"Art & Soul Lounge, Nairobi",ChIJs7eHWZNPLxgR9g3bfXTPxe0,"Ngong Rd, Nairobi, Kenya",Ngong,-1.301029,36.7856745,http://wwww.ngonghillshotel.com/,https://maps.google.com/?cid=17133328456635583990,4.3,(629),dance,dance,fallback_original,rejected,0.25,bar; establishment; food; point_of_interest; restaurant,[object Object]
CrossFit Boveda,ChIJL8FOlM09LxgRxsQHcEtdTs0,"Kiambu Rd, Kenya",,-1.2012983,36.8303849,https://crossfitboveda.co.ke/,https://maps.google.com/?cid=14793864404542145734,4.9,(10),hiit-bootcamp; cycling,hiit-bootcamp; cycling,fallback_original,rejected,0.25,establishment; gym; health; point_of_interest,
46 Rooftop Fitness Hub,ChIJH5ulGxQbLxgRrV-8sRtXqYs,"46 Residency Building, Gitanga Rd, Nairobi, Kenya",,-1.2848053,36.7433169,https://46fitnesshub.co.ke/,https://maps.google.com/?cid=10063670618793729965,5,(20),hiit-bootcamp; dance,hiit-bootcamp; dance,fallback_original,rejected,0.25,establishment; gym; health; point_of_interest,[object Object]
Bikes and Accessories Kenya,ChIJC7sT3s49LxgR6bIumXMq3GY,"Total, Nairobi, Kenya",,-1.2108494,36.78960180000001,https://instagram.com/bikes_accessories_ke,https://maps.google.com/?cid=7411845762724573929,4.9,(65),cycling,cycling,fallback_original,rejected,0.25,bicycle_store; establishment; point_of_interest; store,
Gravel Riders Club,ChIJgSCxqMQTLxgRGuYK1hYAHb8,"Nairobi, Kenya",,-1.2908031,36.8906475,http://www.gravelriders.club/,https://maps.google.com/?cid=13771163333649163802,4.7,(26),cycling,cycling,fallback_original,rejected,0.25,establishment; point_of_interest,[object Object]
RVO Cycling,ChIJLwxUdcwXLxgRMX3y7pefNAE,"Homecare Hardware Gigiri Lane, Nairobi, Kenya",Gigiri,-1.2324214,36.8072496,http://www.riftvalleyodyssey.com/,https://maps.google.com/?cid=86869767724629297,5,(3),cycling,cycling,fallback_original,rejected,0.25,bicycle_store; establishment; point_of_interest; store,[object Object]
"Misitu Raha (Raha Tele!), Karen.",ChIJA_RViq8bLxgRw6CwWTPR2y4,"Forest Edge Rd, Nairobi, Kenya",,-1.3288371,36.767539,http://www.instagram.com/misitu.raha,https://maps.google.com/?cid=3376522364122603715,4.7,(20),cycling,cycling,fallback_original,rejected,0.25,establishment; point_of_interest,
The Oloolua Nature Trail,ChIJ36-Ncr4ELxgRW7Dk46I5wY4,"Oloolua Forest, Karen Rd, Nairobi, Kenya",Karen,-1.3597542,36.7124083,http://www.primateresearch.org/index.php/about-us/oloolua-nature-trail,https://maps.google.com/?cid=10286566395661824091,4.5,(2882),cycling,cycling,fallback_original,rejected,0.25,establishment; park; point_of_interest; tourist_attraction,
Mobile bicycle garage,ChIJz8GFBToXLxgR1dgI8Ez9MDw,"Kipande Rd, Nairobi, Kenya",,-1.2770944,36.821114,http://mobilebicyclegarage.com/,https://maps.google.com/?cid=4337244948044241109,5,(5),cycling,cycling,fallback_original,rejected,0.25,establishment; point_of_interest,[object Object]
Level 24 Gym and Fitness Centre,ChIJY_im210XLxgRpNoke6pAfww,"Le'Mac, Church Rd, Nairobi, Kenya",,-1.2616018,36.7893599,http://www.level24.life/,https://maps.google.com/?cid=900509551452019364,4.2,(106),cycling; fitness; gym-time; strength-training,cycling; fitness; gym-time; strength-training,fallback_original,rejected,0.25,establishment; gym; health; point_of_interest,[object Object]
Distverse Kids Academy,ChIJzwnMJHQRLxgR19St5M6-QwM,"MQQM+FCF, Nairobi, Kenya",,-1.3112289,36.7835645,https://www.tiktok.com/@distversedanceacademy?is_from_webapp=1&sender_device=pc,https://maps.google.com/?cid=235241401362535639,5,(3),dance,dance,fallback_original,rejected,0.25,establishment; point_of_interest,
Ibiza,ChIJsWJrUu4ZLxgRIOan2C0ObO0,"PQCC+23, Nairobi, Kenya",,-1.2802429,36.7702109,https://instagram.com/ibiza_254?igshid=MWQ1ZGUxMzBkMA==,https://maps.google.com/?cid=17108064674544870944,4.2,(443),dance,dance,fallback_original,rejected,0.25,establishment; night_club; point_of_interest,
