business name,owner/manager,contact email,city,website,business type (modality),estimated_opening_date
Funk Training Club,,,London,http://www.funktrainingclub.com/,"hiit-bootcamp, strength-training, yoga",2025-04-12
Grapple Labs,,,London,https://grapplelabs.co.uk/,martial-arts,2025-01-18
Healing with Thai,,,London,https://www.healingwiththai.com/,"yoga, stretching",2024-04-29
HeartSpace Yoga,,,London,http://www.heartspaceyoga.co/,"barre, yoga, pilates",2024-02-06
Heels & Feels,,,London,http://unit3-studios.com/,dance,2024-03-15
Hiraya Pilates,,,London,https://www.hirayapilates.com/,"pilates, reformer-pilates",2025-03-19
hot-yoga-shoreditch-formerly-yoga-union-london,,,London,https://www.hotyogashoreditch.com/,"pilates, yoga, low-impact-training, strength-training",2024-08-24
house-of-moon-studio-london,,,London,https://www.houseofmoonstudio.com/,"aerial, yoga, pilates, stretching",2025-08-14
hum yoga & meditation,,,London,http://www.humldn.com/,"yoga, pilates, prenatal-postnatal, reformer-pilates",2025-04-28
Hypecore Pilates,,,London,https://www.hypecorepilates.com/,"pilates, reformer-pilates",2023-12-04
Hypecore Pilates City,,,London,https://hypecorepilates.com/,"pilates, reformer-pilates",2023-12-04
ID Studios London,,,London,https://www.idstudioslondon.com/,"dance, yoga",2024-03-11
Illaf beauty bar,,,London,https://illafbeautybar.co.uk/,pilates,2025-12-15
Inflow,,,London,https://inflowmovefreely.co.uk/,personal-training,2025-06-02
Integrated Movement Studio,,,London,http://www.integratedmovementstudio.com/,"hiit-bootcamp, dance, aerial, strength-training, stretching",2023-12-18
LAB Pilates Studio,,,London,https://www.labpilates.co.uk/,"pilates, reformer-pilates",2025-07-22
LifeBody,,,London,http://www.lifebody.co.uk/,"hiit-bootcamp, pilates, reformer-pilates, strength-training",2024-10-31
LIQUID MOVEMENT,,,London,https://liquidmvmt.com/,"pilates, yoga",2025-04-25
LOAD Reformer Limited,,,London,https://www.loadreformer.com/,"pilates, reformer-pilates",2025-05-15
